,Time,Voltage
1027,5.135,0.625
1028,5.14,0.634766
1029,5.145,0.600586
1030,5.15,0.566406
1031,5.155,0.595703
1032,5.16,0.629883
1033,5.165,0.639648
1034,5.17,0.65918
1035,5.175,0.683594
1036,5.18,0.664062
1037,5.185,0.610352
1038,5.19,0.561523
1039,5.195,0.546875
1040,5.2,0.546875
1041,5.205,0.561523
1042,5.21,0.605469
1043,5.215,0.654297
1044,5.22,0.688477
1045,5.225,0.620117
1046,5.23,0.576172
1047,5.235,0.576172
1048,5.24,0.551758
1049,5.245,0.551758
1050,5.25,0.595703
1051,5.255,0.605469
1052,5.26,0.59082
1053,5.265,0.610352
1054,5.27,0.59082
1055,5.275,0.451869
1056,5.28,0.546875
1057,5.285,0.537109
1058,5.29,0.522461
1059,5.295,0.537109
1060,5.3,0.561523
1061,5.305,0.561523
1062,5.31,0.532227
1063,5.315,0.517578
1064,5.32,0.537109
1065,5.325,0.541992
1066,5.33,0.517578
1067,5.335,0.522461
1068,5.34,0.595703
1069,5.345,0.600586
1070,5.35,0.566406
1071,5.355,0.600586
1072,5.36,0.605469
1073,5.365,0.571289
1074,5.37,0.551758
1075,5.375,0.585937
1076,5.38,0.620117
1077,5.385,0.585937
1078,5.39,0.566406
1079,5.395,0.595703
1080,5.4,0.719409
1081,5.405,0.566406
1082,5.41,0.571289
1083,5.415,0.615234
1084,5.42,0.600586
1085,5.425,0.59082
1086,5.43,0.585937
1087,5.435,0.556641
1088,5.44,0.566406
1089,5.445,0.571289
1090,5.45,0.456112
1091,5.455,0.610352
1092,5.46,0.634766
1093,5.465,0.639648
1094,5.47,0.629883
1095,5.475,0.595703
1096,5.48,0.571289
1097,5.485,0.551758
1098,5.49,0.546875
1099,5.495,0.576172
1100,5.5,0.757796
1101,5.505,0.605469
1102,5.51,0.610352
1103,5.515,0.615234
1104,5.52,0.600586
1105,5.525,0.625
1106,5.53,0.605469
1107,5.535,0.585937
1108,5.54,0.59082
1109,5.545,0.585937
1110,5.55,0.537109
1111,5.555,0.449899
1112,5.56,0.59082
1113,5.565,0.595703
1114,5.57,0.566406
1115,5.575,0.610352
1116,5.58,0.644531
1117,5.585,0.605469
1118,5.59,0.576172
1119,5.595,0.749254
1120,5.6,0.615234
1121,5.605,0.561523
1122,5.61,0.561523
1123,5.615,0.59082
1124,5.62,0.730879
1125,5.625,0.605469
1126,5.63,0.639648
1127,5.635,0.634766
1128,5.64,0.576172
1129,5.645,0.556641
1130,5.65,0.581055
1131,5.655,0.576172
1132,5.66,0.595703
1133,5.665,0.625
1134,5.67,0.571289
1135,5.675,0.551758
1136,5.68,0.556641
1137,5.685,0.532227
1138,5.69,0.541992
1139,5.695,0.566406
1140,5.7,0.576172
1141,5.705,0.541992
1142,5.71,0.527344
1143,5.715,0.444896
1144,5.72,0.493164
1145,5.725,0.512695
1146,5.73,0.722894
1147,5.735,0.541992
1148,5.74,0.517578
1149,5.745,0.556641
1150,5.75,0.546875
1151,5.755,0.551758
1152,5.76,0.517578
1153,5.765,0.537109
1154,5.77,0.600586
1155,5.775,0.556641
1156,5.78,0.532227
1157,5.785,0.546875
1158,5.79,0.527344
1159,5.795,0.512695
1160,5.8,0.537109
1161,5.805,0.576172
1162,5.81,0.581055
1163,5.815,0.561523
1164,5.82,0.581055
1165,5.825,0.605469
1166,5.83,0.581055
1167,5.835,0.581055
1168,5.84,0.59082
1169,5.845,0.585937
1170,5.85,0.585937
1171,5.855,0.605469
1172,5.86,0.59082
1173,5.865,0.571289
1174,5.87,0.581055
1175,5.875,0.546875
1176,5.88,0.561523
1177,5.885,0.585937
1178,5.89,0.629883
1179,5.895,0.649414
1180,5.9,0.595703
1181,5.905,0.585937
1182,5.91,0.581055
1183,5.915,0.541992
1184,5.92,0.527344
1185,5.925,0.605469
1186,5.93,0.649414
1187,5.935,0.585937
1188,5.94,0.595703
1189,5.945,0.644531
1190,5.95,0.571289
1191,5.955,0.507812
1192,5.96,0.537109
1193,5.965,0.566406
1194,5.97,0.576172
1195,5.975,0.581055
1196,5.98,0.59082
1197,5.985,0.600586
1198,5.99,0.493164
1199,5.995,0.46875
1200,6.0,0.527344
1201,6.005,0.537109
1202,6.01,0.537109
1203,6.015,0.566406
1204,6.02,0.541992
1205,6.025,0.517578
1206,6.03,0.478516
1207,6.035,0.498047
1208,6.04,0.512695
1209,6.045,0.46875
1210,6.05,0.463867
1211,6.055,0.498047
1212,6.06,0.532227
1213,6.065,0.512695
1214,6.07,0.537109
1215,6.075,0.546875
1216,6.08,0.512695
1217,6.085,0.541992
1218,6.09,0.595703
1219,6.095,0.610352
1220,6.1,0.605469
1221,6.105,0.59082
1222,6.11,0.581055
1223,6.115,0.728291
1224,6.12,0.595703
1225,6.125,0.615234
1226,6.13,0.639648
1227,6.135,0.668945
1228,6.14,0.634766
1229,6.145,0.625
1230,6.15,0.615234
1231,6.155,0.595703
1232,6.16,0.629883
1233,6.165,0.649414
1234,6.17,0.649414
1235,6.175,0.615234
1236,6.18,0.59082
1237,6.185,0.576172
1238,6.19,0.59082
1239,6.195,0.605469
1240,6.2,0.59082
1241,6.205,0.566406
1242,6.21,0.581055
1243,6.215,0.600586
1244,6.22,0.610352
1245,6.225,0.595703
1246,6.23,0.620117
1247,6.235,0.615234
